NH-H01,Construction Site Safety,Develop an application for monitoring construction site safety using wearable technology and real-time alerts for hazardous conditions.,Smart Automation
NH-H02,Ensuring Safe Drinking Water through Instant Water Test Kits,"Current water testing methods are not suitable for rapid, on-site testing, especially in remote or underdeveloped areas. This delay in detecting contaminants can result in prolonged exposure to harmful substances, posing serious health risks to the population. There is a critical need for a quick, reliable, and user-friendly solution to test water quality instantly.",HealthTech
NH-H03,Crack Identification and Remediation Tool for Concrete Structures,"Concrete cracking is a prevalent issue in the construction industry, often leading to compromised structural integrity, increased maintenance costs, and reduced lifespan of structures. The challenge lies not only in the occurrence of cracks but also in accurately identifying the type of crack, understanding its underlying cause, and implementing the most effective repair strategy. 
",Smart Automation
NH-H04,Fire resistant construction materials,To maintain the bonding between construction materials under high temperature or impact load.,Disaster Management
NH-H05,Automatic Energy Saving System,"Electricity is the critical need for progress of
the livelihood. ln many Indian cities, the maintenance of street lights has become
a challenging and inefficient process due to the lack of a centralized monitoring
system. ldentifying faults, such as non- functioning lights, current leakage and
cable breakage, relies on citizen grievances, leading to delays, increased costs,
and safety concerns. Hence, an automatic system to be developed in searching for
faults, diagnosing issues, and fixing them.",Sustainable Energy
NH-H06,Solar Efficient System ,"In recent days, energy generation using solar panels are in high demand, due to lack of proper maintanance of the solar system energy generation is degrading to the levels. Hence, an automatic system to be developed for saving the solar energy.",Sustainable Energy
NH-H07,Development of a Clay Extruder for 3D Printing,"A fully functional clay extruder that can be integrated into a 3D printer, enabling the creation of complex ceramic objects with high precision and consistency. The extruder should be easy to use, maintain, and compatible with a variety of clay types.",Smart Automation
NH-H08,Create communication model or temporary network structure for indecisiveness area,"The goal is to develop a system that enhances communication flow and decision-making efficiency within an indecisive context. This may involve creating a model that identifies key communication nodes, information pathways, and decision checkpoints. Alternatively, a temporary network structure could be designed to connect various stakeholders and resources in a way that supports real-time collaboration and feedback.",Smart City
NH-H09,Field Marking by Drone,"Footing marking is more complicated process of construction, as it need to be Precious. It is difficult to maintain accuracy in field marking in manual marking. Incorrect marking will lead to major mistake in further stages",Robotics and Drones
NH-H10,Conveyor Belt Fault Detection,"In a industry, the long cable belt conveyor is supported on pulleys. A steel rope runs over these pulleys while the belt sits over
them. The conveyor is operated by pulling the steel ropes with a drive motor. The rope gets elongated due to pulling force leading to breakage of its strands. Similarly, the belt also gets worn out causing stoppage of conveyor operation unpredictably. In order to overcome this, we require a solution to predit the condition of belt well in advance.",Smart Automation
NH-H11,Smart Irrigation System for Precision Farming,"Water scarcity is a major challenge in agriculture, leading to inefficient water use and reduced crop yields. Traditional irrigation methods often result in overuse or underuse of water. Develop a smart irrigation system that utilizes sensors and IoT technology to monitor soil moisture levels and weather conditions. This system will provide real-time data to farmers, enabling them to make informed decisions on irrigation scheduling, thus optimizing water usage and enhancing crop yield. A smart irrigation module integrated with moisture sensors and a mobile application to provide farmers with timely irrigation alerts and recommendations based on real-time data.",Smart Resource Conservation
